name,platform,year_of_release,genre,publisher,developer
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,EA Canada
Battlefield 4,PS3,2013,Shooter,Electronic Arts,EA DICE
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,Rocksteady Studios
Battlefield 4,X360,2013,Shooter,Electronic Arts,EA DICE
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,EA DICE
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,
Guitar Hero: On Tour,DS,2008,Misc,Activision,Vicarious Visions
Clubhouse Games,DS,2006,Misc,Nintendo,Agenda
Monster Hunter 4,3DS,2013,Role-Playing,Capcom,
Borderlands,X360,2009,Shooter,Take-Two Interactive,Gearbox Software
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,Namco
Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,DMA Design
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,"Kojima Productions, Moby Dick Studio"
Spider-Man 2,PS2,2004,Action,Activision,Treyarch
F-1 Race,GB,1990,Racing,Nintendo,
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,EA Canada
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,Media Molecule
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,Eurocom Entertainment Software
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,Ubisoft Quebec
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,Traveller's Tales
Destiny,XOne,2014,Shooter,Activision,"Bungie Software, Bungie"
WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,
Far Cry 3,PS3,2012,Shooter,Ubisoft,Ubisoft Montreal
Rugrats: Search For Reptar,PS,1998,Adventure,THQ,
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,Eurocom Entertainment Software
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,
Monster Hunter X,3DS,2015,Action,Capcom,
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,Double Helix Games
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,Nintendo
Max Payne,PS2,2001,Shooter,Take-Two Interactive,Rockstar Toronto
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,Ubisoft
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,EA Games
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,"Splash Damage, The Coalition"
True Crime: Streets of LA,PS2,2003,Action,Activision,"Luxoflux, Inc."
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,Level 5
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,
FIFA 16,XOne,2015,Sports,Electronic Arts,EA Sports
Wii Music,Wii,2008,Misc,Nintendo,Nintendo
Tekken,PS,1995,Fighting,Sony Computer Entertainment,
Madden NFL 16,PS4,2015,Sports,Electronic Arts,EA Sports
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,Polyphony Digital
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,343 Industries
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,
Super Mario Maker,WiiU,2015,Platform,Nintendo,Nintendo
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,
Baseball,NES,1983,Sports,Nintendo,
Killer Instinct,SNES,1995,Fighting,Nintendo,
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,Ready at Dawn
Enter the Matrix,PS2,2003,Action,Atari,Shiny Entertainment
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,Square Enix
Dance Central,X360,2010,Misc,MTV Games,Harmonix Music Systems
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,Team Bondi
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,Namco
Animal Crossing,GC,2001,Simulation,Nintendo,Nintendo
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,EA Canada
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1st Playable Productions
Spider-Man,PS,2000,Action,Activision,Neversoft Entertainment
Mario Party 9,Wii,2012,Misc,Nintendo,Nd Cube
Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,EA Canada
Star Wars Episode I Racer,N64,1999,Racing,Nintendo,
Sonic Rush,DS,2005,Platform,Sega,"Dimps Corporation, Sonic Team"
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,
Rhythm Heaven,DS,2008,Misc,Nintendo,Nintendo
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,Indies Zero
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,4J Studios
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,Nintendo
Resident Evil 6,PS3,2012,Shooter,Capcom,Capcom
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,BioWare
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,Dimps Corporation
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,EA Sports
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,
Donkey Kong,GB,1994,Platform,Nintendo,
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,Maxis
LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment,Traveller's Tales
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,Nintendo
The Sims 4,PC,2014,Simulation,Electronic Arts,Maxis
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,Gearbox Software
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,TT Fusion
Kung Fu Panda,X360,2008,Action,Activision,"Luxoflux, Inc."
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,BioWare
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,Quantic Dream
Rayman,PS,1995,Platform,Ubisoft,
Saints Row 2,X360,2008,Action,THQ,Volition Inc.
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,Ubisoft Montreal
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,
FIFA 14,PS4,2013,Sports,Electronic Arts,EA Canada
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,Guerrilla
Far Cry 3,X360,2012,Shooter,Ubisoft,Ubisoft Montreal
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,Junction Point
NBA 2K13,X360,2012,Sports,Take-Two Interactive,Visual Concepts
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,"Spike, Namco Bandai Games"
wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,N/A,
Star Fox,SNES,1993,Shooter,Nintendo,
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,Maxis
World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,KCET
Devil May Cry,PS2,2001,Action,Capcom,Capcom
Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,"LucasArts, BioWare"
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,Monolith Productions
Sonic Heroes,PS2,2003,Platform,Sega,Sonic Team
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,Io Interactive
Titanfall,XOne,2014,Shooter,Electronic Arts,Respawn Entertainment
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,EA DICE
Wave Race 64,N64,1996,Racing,Nintendo,
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,Zipper Interactive
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,
Pac-Man Collection,GBA,2001,Puzzle,Atari,Mass Media
Street Fighter IV,X360,2009,Fighting,Capcom,Capcom
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,Sucker Punch
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,HAL Labs
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,Infinity Ward
FIFA 15,X360,2014,Sports,Electronic Arts,EA Sports
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,BioWare
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,Sonic Team
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,KCET
Sega Superstars Tennis,X360,2008,Sports,Sega,Sumo Digital
Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,Clap Hanz
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,OfficeCreate
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,Spark Unlimited
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,Intelligent Systems
Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,
Imagine: Babyz,DS,2007,Simulation,Ubisoft,Ubisoft
Colin McRae Rally,PS,1998,Racing,Codemasters,
Madden NFL 13,X360,2012,Sports,Electronic Arts,EA Tiburon
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,Bethesda Softworks
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,Ubisoft
Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,
F-Zero,SNES,1990,Racing,Nintendo,
Yoshi's Story,N64,1997,Platform,Nintendo,
Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios
Madden NFL 10,X360,2009,Sports,Electronic Arts,EA Tiburon
WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,
BioShock,X360,2007,Shooter,Take-Two Interactive,"Irrational Games, 2K Marin"
Metroid Prime,GC,2002,Shooter,Nintendo,Retro Studios
Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,Ubisoft Montreal
Finding Nemo,GBA,2003,Action,THQ,Vicarious Visions
Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,"Majesco Games, Majesco"
Myst,PC,1994,Adventure,Red Orb,
Medal of Honor,PS3,2010,Shooter,Electronic Arts,"EA DICE, Danger Close"
Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,Virtual Toys
WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,
Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,
A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,
WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,Sucker Punch
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,
Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,
NBA Street,PS2,2001,Sports,Electronic Arts,NuFX
Jak II,PS2,2003,Platform,Sony Computer Entertainment,Naughty Dog
Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,
Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,Criterion Games
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,Toys for Bob
Battlefield 3,PC,2011,Shooter,Electronic Arts,EA DICE
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
The Sims,PS2,2003,Simulation,Electronic Arts,Edge of Reality
Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,Guerrilla
Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,LucasArts
Minecraft,XOne,2014,Misc,Microsoft Game Studios,
Yoshi's Island DS,DS,2006,Platform,Nintendo,Artoon
Saints Row: The Third,X360,2011,Action,THQ,Volition Inc.
Missile Command,2600,1980,Shooter,Atari,
Mario Paint,SNES,1992,Misc,Nintendo,
Tekken 6,PS3,2009,Fighting,Namco Bandai Games,Namco Bandai Games
Pokémon Stadium 2,N64,2000,Strategy,Nintendo,
Metroid,NES,1986,Action,Nintendo,
Sonic and the Secret Rings,Wii,2007,Platform,Sega,Sonic Team
FIFA 16,PS3,2015,Sports,Electronic Arts,EA Sports
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,Capcom
Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,Capcom
Mario Party,N64,1998,Misc,Nintendo,
L.A. Noire,X360,2011,Adventure,Take-Two Interactive,Team Bondi
Call of Duty 3,X360,2006,Shooter,Activision,Treyarch
Madden NFL 12,X360,2011,Sports,Electronic Arts,EA Tiburon
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,Traveller's Tales
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,Guerrilla
Madden NFL 11,X360,2010,Sports,Electronic Arts,EA Tiburon
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,Criterion Games
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,Nintendo
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,Level 5
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,Treyarch
Medal of Honor,PS,1998,Shooter,Electronic Arts,Dreamworks Interactive
Fable,XB,2004,Role-Playing,Microsoft Game Studios,Big Blue Box
Guitar Hero: World Tour,X360,2008,Misc,Activision,Neversoft Entertainment
FIFA 17,XOne,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver"
Hannah Montana,DS,2006,Action,Disney Interactive Studios,DC Studios
Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,Ubisoft Shanghai
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,
Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,Slightly Mad Studios
Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,
Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,Team Fusion
Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,Square Enix
Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,Angel Studios
Skate 3,X360,2010,Sports,Electronic Arts,EA Black Box
ESPN NFL 2K5,PS2,2004,Sports,Sega,Visual Concepts
Halo Wars,X360,2009,Strategy,Microsoft Game Studios,Ensemble Studios
NBA 2K12,X360,2011,Sports,Take-Two Interactive,Visual Concepts
Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,
FIFA Soccer 10,X360,2009,Sports,Electronic Arts,EA Sports
Medal of Honor,X360,2010,Shooter,Electronic Arts,"Dice, Danger Close"
Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,Electronic Arts
Streets of Rage,GEN,1990,Action,Sega,
God of War Collection,PS3,2009,Action,Sony Computer Entertainment,Bluepoint Games
NBA Live 2005,PS2,2004,Sports,Electronic Arts,EA Canada
Mario Strikers Charged,Wii,2007,Sports,Nintendo,Next Level Games
FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,EA Canada
Style Savvy,DS,2008,Simulation,Nintendo,syn Sophia
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,Yuke's
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,Traveller's Tales
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,
Madden NFL 08,PS2,2007,Sports,Electronic Arts,EA Tiburon
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,Capcom
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,
Sonic Adventure 2 Battle,GC,2001,Platform,Sega,Sonic Team
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,
Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,
Madden NFL 13,PS3,2012,Sports,Electronic Arts,EA Tiburon
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,BioWare
Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,Genius Sonority Inc.
LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule"
Madden NFL 09,X360,2008,Sports,Electronic Arts,EA Tiburon
Space Invaders,2600,N/A,Shooter,Atari,
Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham
Art Academy,DS,2010,Misc,Nintendo,Headstrong Games
NBA 2K14,X360,2013,Sports,Take-Two Interactive,Visual Concepts
Perfect Dark,N64,2000,Action,Nintendo,
Skylanders Giants,Wii,2012,Action,Activision,Toys for Bob
Dragon Warrior,NES,1986,Role-Playing,Capcom,
Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,CAProduction
PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,
Mario Party 2,N64,1999,Misc,Nintendo,
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,Raven Software
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,Midway
Game Party,Wii,2007,Misc,Midway Games,Midway
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,From Software
Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,
Mario Party 4,GC,2002,Misc,Nintendo,Hudson
Pure,X360,2008,Racing,Disney Interactive Studios,Black Rock Studio
Rock Band,X360,N/A,Misc,Electronic Arts,Harmonix Music Systems
NBA 2K13,PS3,2012,Sports,Take-Two Interactive,Visual Concepts
Saints Row: The Third,PS3,2011,Action,THQ,Volition Inc.
Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,Insomniac Games
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,Visual Concepts
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,SquareSoft
Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,Rockstar San Diego
Twisted Metal 2,PS,1996,Racing,Sony Computer Entertainment,
The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,Maxis
Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,Cyan Worlds
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,Traveller's Tales
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,Infinity Ward
Madden NFL 16,XOne,2015,Sports,Electronic Arts,EA Sports
Ice Hockey,NES,1988,Sports,Nintendo,
Sonic Adventure,DC,1998,Platform,Sega,
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,Ubisoft Montreal
uDraw Studio,Wii,2010,Misc,THQ,THQ
Tomb Raider (2013),PS3,2013,Action,Square Enix,
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,EA Canada
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,Dimps Corporation
pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,Konami
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,Rainbow Studios
Dino Crisis,PS,1998,Action,Capcom,
Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,Black Box
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,343 Industries
Tetris Plus,PS,1996,Puzzle,JVC,
Pro Wrestling,NES,1987,Fighting,Nintendo,
Theme Hospital,PC,1997,Strategy,Electronic Arts,Bullfrog Productions
Frogger's Adventures: Temple of the Frog,GBA,N/A,Adventure,Konami Digital Entertainment,Konami Computer Entertainment Hawaii
Monopoly,PC,1994,Misc,Hasbro Interactive,
,GEN,1993,,Acclaim Entertainment,
Guitar Hero,PS2,2005,Misc,RedOctane,Harmonix Music Systems
Madden NFL 11,PS3,2010,Sports,Electronic Arts,EA Tiburon
WCW/nWo Revenge,N64,1998,Fighting,THQ,
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,
Dead Island,X360,2011,Action,Deep Silver,Techland
Half-Life 2,PC,2004,Shooter,Vivendi Games,Valve Software
The Incredibles,PS2,2004,Action,THQ,Heavy Iron Studios
Madden NFL 08,X360,2007,Sports,Electronic Arts,EA Tiburon
Tony Hawk's Underground 2,PS2,2004,Sports,Activision,Neversoft Entertainment
Zumba Fitness,X360,2010,Sports,505 Games,"Pipeworks Software, Inc."
Madden NFL 10,PS3,2009,Sports,Electronic Arts,EA Tiburon
Kirby's Dream Land 2,GB,1995,Platform,Nintendo,
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,Rockstar San Diego
Donkey Kong Land II,GB,1996,Platform,Nintendo,
Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,Frontier Developments
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,Yuke's
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,GREZZO
LEGO Indiana Jones: The Original Adventures,Wii,N/A,Action,LucasArts,Traveller's Tales
Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,Capcom
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,Visual Concepts
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,"Rare Ltd., BigPark"
My Fitness Coach,Wii,2008,Sports,Ubisoft,Ubisoft
Mario Tennis,N64,2000,Sports,Nintendo,
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,
James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,EA Redwood Shores
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,EA Canada
Chrono Trigger,SNES,1995,Role-Playing,SquareSoft,
Guild Wars 2,PC,2012,Action,NCSoft,ArenaNet
Cool Boarders 3,PS,1998,Sports,989 Studios,
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,Intelligent Systems
WarioWare Touched!,DS,2004,Puzzle,Nintendo,
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,WB Games Montreal
Tomb Raider II,PC,1997,Action,Eidos Interactive,Core Design Ltd.
Yokai Watch Busters,3DS,2015,Action,Level 5,
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,Traveller's Tales
Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,EA Canada
Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,Konami
Mario Bros.,NES,1983,Platform,Nintendo,
FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,EA Canada
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,TT Fusion
The Sims 3,X360,2010,Simulation,Electronic Arts,The Sims Studio
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,"HAL Labs, Creatures Inc."
